id,number_of_points,year,month,is_operational,municipality,region,country,latitude,longitude,rejection_reason,fetch_timestamp
484518,,2026,4,True,Kuusamo,North Ostrobothnia,Finland,66.149666,29.246571,,2026-06-30 07:14:05.354549+00:00
484517,,2026,4,True,Kuusamo,North Ostrobothnia,Finland,66.1308975,29.2311993,,2026-06-30 07:14:05.354549+00:00
484516,,2026,4,True,Posio,Lapland,Finland,66.1130981,28.1797009,,2026-06-30 07:14:05.354549+00:00
484515,,2026,4,True,Posio,Lapland,Finland,66.112366,28.157723,,2026-06-30 07:14:05.354549+00:00
484514,,2026,4,True,Posio,Lapland,Finland,66.110036,28.171198,,2026-06-30 07:14:05.354549+00:00
484513,,2026,4,True,Posio,Lapland,Finland,66.0960999,28.1348991,,2026-06-30 07:14:05.354549+00:00
484512,,2026,4,True,Tervola,Lapland,Finland,66.088729,24.816915,,2026-06-30 07:14:05.354549+00:00
484511,,2026,4,True,Tervola,Lapland,Finland,66.0874449,24.810641,,2026-06-30 07:14:05.354549+00:00
484510,,2026,4,True,Tornio,Lapland,Finland,66.041512,24.01812,,2026-06-30 07:14:05.354549+00:00
484509,,2026,4,True,Kuusamo,North Ostrobothnia,Finland,66.001297,29.1686001,,2026-06-30 07:14:05.354549+00:00
484508,,2026,4,True,Kuusamo,North Ostrobothnia,Finland,65.978361,29.181286,,2026-06-30 07:14:05.354549+00:00
484507,,2026,4,True,Kuusamo,North Ostrobothnia,Finland,65.9753526,29.1700075,,2026-06-30 07:14:05.354549+00:00
484506,,2026,4,True,Kuusamo,North Ostrobothnia,Finland,65.971818,29.181222,,2026-06-30 07:14:05.354549+00:00
484505,,2026,4,True,Kuusamo,North Ostrobothnia,Finland,65.967383,29.177134,,2026-06-30 07:14:05.354549+00:00
484504,,2026,4,True,Kuusamo,North Ostrobothnia,Finland,65.963503,29.189955,,2026-06-30 07:14:05.354549+00:00
484503,,2026,4,True,Kuusamo,North Ostrobothnia,Finland,65.963448,29.176136,,2026-06-30 07:14:05.354549+00:00
484502,,2026,4,True,Kuusamo,North Ostrobothnia,Finland,65.961685,29.187745,,2026-06-30 07:14:05.354549+00:00
484501,,2026,4,True,Kuusamo,North Ostrobothnia,Finland,65.958416,29.156996,,2026-06-30 07:14:05.354549+00:00
484500,,2026,4,,Kuusamo,North Ostrobothnia,Finland,65.958276,29.163058,,2026-06-30 07:14:05.354549+00:00
484499,,2026,4,True,Kuusamo,North Ostrobothnia,Finland,65.956337,29.1614037,,2026-06-30 07:14:05.354549+00:00
484498,,2026,4,True,Kuusamo,North Ostrobothnia,Finland,65.954216,29.1526666,,2026-06-30 07:14:05.354549+00:00
484497,,2026,4,True,Kuusamo,North Ostrobothnia,Finland,65.953099,29.1600124,,2026-06-30 07:14:05.354549+00:00
484496,,2026,4,True,Kuusamo,North Ostrobothnia,Finland,65.947369,29.236432,,2026-06-30 07:14:05.354549+00:00
484495,,2026,4,True,Ranua,Lapland,Finland,65.930768,26.515288,,2026-06-30 07:14:05.354549+00:00
484494,,2026,4,True,Ranua,Lapland,Finland,65.928543,26.515433,,2026-06-30 07:14:05.354549+00:00
